IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y
10013576,WARRANTS,WARRANT ARREST,Wednesday,03/05/2003,7:50,TARAVAL,"ARREST, BOOKED",0 Block of BORICA ST,-122.468567,37.72181205
10050142,WARRANTS,WARRANT ARREST,Friday,05/09/2003,19:45,TENDERLOIN,"ARREST, BOOKED",0 Block of MCALLISTER ST,-122.4134301,37.78092448
10085149,WARRANTS,WARRANT ARREST,Saturday,01/11/2003,23:55,TENDERLOIN,"ARREST, BOOKED",MARKET ST / 8TH ST,-122.4147438,37.77871926
10168585,WARRANTS,WARRANT ARREST,Thursday,02/27/2003,19:26,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.4119856,37.78500071
10284802,WARRANTS,WARRANT ARREST,Tuesday,04/01/2003,20:12,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.4159163,37.78354605
10347892,WARRANTS,WARRANT ARREST,Tuesday,01/07/2003,8:45,INGLESIDE,"ARREST, BOOKED",300 Block of EDINBURGH ST,-122.4301505,37.72375169
30204078,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Monday,02/17/2003,15:00,RICHMOND,NONE,SPRUCE ST / ANZA ST,-122.4528981,37.78036237
10413114,WARRANTS,WARRANT ARREST,Tuesday,04/01/2003,23:21,CENTRAL,"ARREST, BOOKED",600 Block of PACIFIC AV,-122.4062922,37.79693785
10434104,WARRANTS,WARRANT ARREST,Thursday,03/13/2003,4:54,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GOLDEN GATE AV,-122.4171468,37.78144635
10480260,WARRANTS,WARRANT ARREST,Saturday,03/15/2003,3:50,,"ARREST, BOOKED",UNKNOWN,0,0
10497538,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,04/03/2003,20:20,,NONE,OUT OF TOWN,0,0
10497538,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Thursday,04/03/2003,20:20,,NONE,OUT OF TOWN,0,0
10505147,WARRANTS,WARRANT ARREST,Thursday,01/30/2003,7:15,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.4101204,37.78327425
10541113,WARRANTS,WARRANT ARREST,Wednesday,04/16/2003,0:55,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.4107688,37.78321452
20910188,WARRANTS,WARRANT ARREST,Monday,01/27/2003,11:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4036752,37.77517751
20941923,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,02/06/2003,12:00,RICHMOND,NONE,4100 Block of GEARY BL,-122.4636493,37.7810158
20957174,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,03/31/2003,13:51,PARK,NONE,400 Block of STANYAN ST,-122.4544166,37.77381444
20959750,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,02/26/2003,7:09,BAYVIEW,NONE,2200 Block of NEWCOMB AV,-122.4011289,37.7416239
20993548,NON-CRIMINAL,LOCATED PROPERTY,Tuesday,04/08/2003,12:00,,NONE,UNKNOWN,0,0
20996025,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,01/06/2003,8:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.4723219,37.72162217
20996025,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Monday,01/06/2003,8:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.4723219,37.72162217
20996025,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,01/06/2003,8:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.4723219,37.72162217
30204084,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,02/18/2003,17:41,NORTHERN,"ARREST, BOOKED",800 Block of GOUGH ST,-122.4238757,37.7815322
21029708,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Tuesday,04/01/2003,10:54,,NONE,OUT OF TOWN,0,0
21040942,NON-CRIMINAL,LOCATED PROPERTY,Thursday,02/13/2003,23:09,,NONE,OUT OF TOWN,0,0
21055894,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,04/16/2003,0:49,TENDERLOIN,NONE,0 Block of UNITED NATIONS PZ,-122.4142835,37.77980264
21059573,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Saturday,03/01/2003,17:59,,NONE,OUT OF TOWN,0,0
21065542,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,02/19/2003,11:35,RICHMOND,NONE,2600 Block of PACIFIC AV,-122.4390315,37.79283464
21095721,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,05/07/2003,13:33,,NONE,OUT OF TOWN,0,0
11230084,VEHICLE THEFT,STOLEN TRUCK,Tuesday,02/25/2003,11:00,,NONE,UNKNOWN,0,0
11230084,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,02/25/2003,11:00,,NONE,UNKNOWN,0,0
11266697,WARRANTS,WARRANT ARREST,Sunday,06/15/2003,15:38,MISSION,"ARREST, BOOKED",100 Block of CAPP ST,-122.4186042,37.76454065
21345708,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,03/11/2003,5:02,,NONE,OUT OF TOWN,0,0
21347419,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,01/01/2003,12:36,INGLESIDE,NONE,100 Block of ELSIE ST,-122.4174822,37.74320534
30204090,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Tuesday,02/18/2003,17:45,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.447204,37.78236431
21526390,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,01/07/2003,14:00,SOUTHERN,NONE,100 Block of CLARA ST,-122.4002131,37.78121976
30204090,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Tuesday,02/18/2003,17:45,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.447204,37.78236431
30204103,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,02/18/2003,18:26,BAYVIEW,"ARREST, CITED",16TH ST / 7TH ST,-122.3950628,37.76654436
30204119,NON-CRIMINAL,LOST PROPERTY,Tuesday,02/18/2003,16:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403743,37.7752317
21534939,WEAPON LAWS,POSS OF LOADED FIREARM,Saturday,05/10/2003,8:18,,NONE,NO ADDRESS ENTERED,0,0
21534939,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,05/10/2003,8:18,,NONE,NO ADDRESS ENTERED,0,0
30204131,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,02/18/2003,18:32,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.4121216,37.78137864
21536292,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Sunday,01/05/2003,11:31,INGLESIDE,NONE,0 Block of GARRISON AV,-122.4129287,37.71084405
30206068,NON-CRIMINAL,LOST PROPERTY,Wednesday,02/19/2003,1:00,SOUTHERN,NONE,1300 Block of FOLSOM ST,-122.4122271,37.77323767
30206074,FRAUD,"FALSE PRETENSES, GRAND THEFT",Monday,02/17/2003,9:00,CENTRAL,NONE,300 Block of COLUMBUS AV,-122.4076695,37.79851172
21363120,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Tuesday,01/28/2003,9:30,CENTRAL,NONE,1400 Block of LEAVENWORTH ST,-122.4163968,37.79418106
21369190,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,06/16/2003,3:30,,NONE,OUT OF TOWN,0,0
30206115,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,02/18/2003,18:45,MISSION,NONE,14TH ST / GUERRERO ST,-122.4244127,37.76800542
30206159,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,02/19/2003,9:30,SOUTHERN,"ARREST, BOOKED",400 Block of NATOMA ST,-122.4066848,37.78101068
30206159,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,02/19/2003,9:30,SOUTHERN,"ARREST, BOOKED",400 Block of NATOMA ST,-122.4066848,37.78101068
30206165,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,02/18/2003,17:30,NORTHERN,NONE,OCTAVIA ST / OAK ST,-122.4242465,37.77481225
30206171,TRESPASS,TRESPASSING,Wednesday,02/19/2003,8:08,SOUTHERN,NONE,500 Block of MARKET ST,-122.3998607,37.79050897
30206187,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,02/19/2003,6:00,BAYVIEW,NONE,600 Block of SILLIMAN ST,-122.4110424,37.72971482
30204131,DRUG/NARCOTIC,SALE OF MARIJUANA,Tuesday,02/18/2003,18:32,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.4121216,37.78137864
30204153,MISSING PERSON,MISSING JUVENILE,Tuesday,02/18/2003,7:00,INGLESIDE,NONE,600 Block of PRENTISS ST,-122.4124719,37.73489608
21370216,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Monday,01/13/2003,23:44,TARAVAL,JUVENILE BOOKED,3900 Block of 19TH AV,-122.4725294,37.71718585
21370238,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,01/02/2003,13:00,,NONE,OUT OF TOWN,0,0
30204153,MISSING PERSON,FOUND PERSON,Tuesday,02/18/2003,7:00,INGLESIDE,NONE,600 Block of PRENTISS ST,-122.4124719,37.73489608
30204181,ASSAULT,BATTERY,Tuesday,02/18/2003,18:15,CENTRAL,"ARREST, BOOKED",300 Block of COLUMBUS AV,-122.4070696,37.79818476
30204238,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Tuesday,02/18/2003,18:59,PARK,NONE,800 Block of CENTRAL AV,-122.4450069,37.77736369
